,metric,partition,value,iteration
12,abs_lenght_80pct,test,9513.067406217115,100
13,abs_lenght_80pct,train,9455.080950297044,100
14,abs_lenght_80pct,valid,9740.076363655922,100
15,confidence_error,test,0.15202232286754808,100
16,confidence_error,train,0.16993212325541648,100
17,confidence_error,valid,0.07502715745284841,100
18,elbo,train,119865.89137363434,100
0,MAPE,test,1.5647584489155586,110
1,MAPE,train,26.61623383471945,110
2,MAPE,valid,94.01430158341758,110
3,MAE,test,2675.0279834371504,110
4,MAE,train,2514.196597945727,110
5,MAE,valid,3198.174215927301,110
6,emp_coverage_80pct,test,0.8357870894677236,110
7,emp_coverage_80pct,train,0.8551394422310757,110
8,emp_coverage_80pct,valid,0.7902097902097902,110
9,perc_lenght_80pct,test,9.20115311658575,110
10,perc_lenght_80pct,train,86.46948060350105,110
11,perc_lenght_80pct,valid,419.4788257834691,110
12,abs_lenght_80pct,test,9397.519821590568,110
13,abs_lenght_80pct,train,9359.117148742442,110
14,abs_lenght_80pct,valid,9518.461674848862,110
15,confidence_error,test,0.09795037638998093,110
16,confidence_error,train,0.11857797185435683,110
17,confidence_error,valid,0.019557266339750294,110
18,elbo,train,121519.89199638367,110
0,MAPE,test,2.5487903601323816,120
1,MAPE,train,30.488183326667546,120
2,MAPE,valid,98.97122577777685,120
3,MAE,test,2706.615689189911,120
4,MAE,train,2558.319342607703,120
5,MAE,valid,3326.789339276174,120
6,emp_coverage_80pct,test,0.8414496036240091,120
7,emp_coverage_80pct,train,0.8538645418326694,120
8,emp_coverage_80pct,valid,0.7847707847707848,120
9,perc_lenght_80pct,test,8.764182868139201,120
10,perc_lenght_80pct,train,84.78316278311364,120
11,perc_lenght_80pct,valid,455.5072612887566,120
12,abs_lenght_80pct,test,9430.135351409244,120
13,abs_lenght_80pct,train,9399.071042934906,120
14,abs_lenght_80pct,valid,9647.757603857803,120
15,confidence_error,test,0.07378218604271625,120
16,confidence_error,train,0.08793224055050103,120
17,confidence_error,valid,0.044492065838922984,120
18,elbo,train,123570.27426338196,120
0,MAPE,test,2.106340696327912,130
1,MAPE,train,31.518744735977606,130
2,MAPE,valid,104.8855625349099,130
3,MAE,test,2668.6973868824357,130
4,MAE,train,2560.741633229584,130
5,MAE,valid,2717.349056900133,130
6,emp_coverage_80pct,test,0.82559456398641,130
7,emp_coverage_80pct,train,0.83601593625498,130
8,emp_coverage_80pct,valid,0.7995337995337995,130
9,perc_lenght_80pct,test,6.888267748147465,130
10,perc_lenght_80pct,train,75.55724094770589,130
11,perc_lenght_80pct,valid,392.3854460591556,130
12,abs_lenght_80pct,test,8745.476542969865,130
13,abs_lenght_80pct,train,8706.162456335645,130
14,abs_lenght_80pct,valid,9013.95310929833,130
15,confidence_error,test,0.05672492863534115,130
16,confidence_error,train,0.06408391711952689,130
17,confidence_error,valid,0.02321182652527259,130
18,elbo,train,135600.36133241653,130
0,MAPE,test,2.3480449204796936,140
1,MAPE,train,31.625928677116946,140
2,MAPE,valid,110.51765313538944,140
3,MAE,test,2608.8850984304245,140
4,MAE,train,2535.707007043705,140
5,MAE,valid,2789.1386317957226,140
6,emp_coverage_80pct,test,0.82559456398641,140
7,emp_coverage_80pct,train,0.8363346613545817,140
8,emp_coverage_80pct,valid,0.7964257964257965,140
9,perc_lenght_80pct,test,8.806904378339498,140
10,perc_lenght_80pct,train,69.73998512497039,140
11,perc_lenght_80pct,valid,365.39042040170574,140
12,abs_lenght_80pct,test,8435.981782293544,140
13,abs_lenght_80pct,train,8395.709082895944,140
14,abs_lenght_80pct,valid,8653.391419535952,140
15,confidence_error,test,0.06181419326696172,140
16,confidence_error,train,0.06364094595379415,140
17,confidence_error,valid,0.042143450392173425,140
18,elbo,train,121920.24755859375,140
0,MAPE,test,1.0637721464515235,150
1,MAPE,train,22.64775559981293,150
2,MAPE,valid,62.120540560267045,150
3,MAE,test,2461.619758591099,150
4,MAE,train,2328.4561142586012,150
5,MAE,valid,2783.2297232086466,150
6,emp_coverage_80pct,test,0.8380520951302378,150
7,emp_coverage_80pct,train,0.8537051792828685,150
8,emp_coverage_80pct,valid,0.8080808080808081,150
