,metric,partition,value,iteration
4,diameter_80pct,train,1.5401347984637948,9
5,diameter_80pct,valid,1.5426261569988025,9
6,mape,test,0.3266589443286347,9
7,mape,train,0.24913271112437105,9
8,mape,valid,0.3064631253741158,9
9,confidence_error,test,0.33224471992391236,9
10,confidence_error,train,0.41469028607239206,9
11,confidence_error,valid,0.30783550617590916,9
12,elbo,train,10410.848795413971,9
0,coverage_80pct,test,0.9029850746268657,10
1,coverage_80pct,train,0.9280373831775701,10
2,coverage_80pct,valid,0.8582089552238806,10
3,diameter_80pct,test,1.5116057293057403,10
4,diameter_80pct,train,1.4829100990740525,10
5,diameter_80pct,valid,1.5023707348961204,10
6,mape,test,0.2769332031704443,10
7,mape,train,0.22041891743844505,10
8,mape,valid,0.2756600939142703,10
9,confidence_error,test,0.3854022794731051,10
10,confidence_error,train,0.4666023375462717,10
11,confidence_error,valid,0.3801795035899221,10
12,elbo,train,10358.268668174744,10
0,coverage_80pct,test,0.9029850746268657,11
1,coverage_80pct,train,0.922429906542056,11
2,coverage_80pct,valid,0.8582089552238806,11
3,diameter_80pct,test,1.506463779451102,11
4,diameter_80pct,train,1.504871501661506,11
5,diameter_80pct,valid,1.506652347474554,11
6,mape,test,0.30661338120597,11
7,mape,train,0.24022036033249602,11
8,mape,valid,0.3009932470894645,11
9,confidence_error,test,0.3217598975799884,11
10,confidence_error,train,0.3860998607433819,11
11,confidence_error,valid,0.28316419079115057,11
12,elbo,train,10347.339402675629,11
0,coverage_80pct,test,0.8805970149253731,12
1,coverage_80pct,train,0.9168224299065421,12
2,coverage_80pct,valid,0.8432835820895522,12
3,diameter_80pct,test,1.407760676924953,12
4,diameter_80pct,train,1.3881122658761536,12
5,diameter_80pct,valid,1.4071134136768277,12
6,mape,test,0.3322648409270143,12
7,mape,train,0.25777176406106866,12
8,mape,valid,0.3203483120841998,12
9,confidence_error,test,0.2901420699086823,12
10,confidence_error,train,0.3798183425286192,12
11,confidence_error,valid,0.2719727586142589,12
12,elbo,train,10300.015845298767,12
0,coverage_80pct,test,0.8880597014925373,13
1,coverage_80pct,train,0.9177570093457944,13
2,coverage_80pct,valid,0.8582089552238806,13
3,diameter_80pct,test,1.4793965822334685,13
4,diameter_80pct,train,1.4745782123710247,13
5,diameter_80pct,valid,1.4762316468120777,13
6,mape,test,0.29226919694568776,13
7,mape,train,0.23119621332665885,13
8,mape,valid,0.2870466339757342,13
9,confidence_error,test,0.38464230384106124,13
10,confidence_error,train,0.45443903409404957,13
11,confidence_error,valid,0.354188336974022,13
12,elbo,train,10320.385859489441,13
0,coverage_80pct,test,0.8805970149253731,14
1,coverage_80pct,train,0.9112149532710281,14
2,coverage_80pct,valid,0.8507462686567164,14
3,diameter_80pct,test,1.3165100952021207,14
4,diameter_80pct,train,1.298058243255808,14
5,diameter_80pct,valid,1.3142009424758057,14
6,mape,test,0.31759975200581037,14
7,mape,train,0.2454450939191459,14
8,mape,valid,0.30323907733284117,14
9,confidence_error,test,0.29999080815829215,14
10,confidence_error,train,0.386541532663571,14
11,confidence_error,valid,0.29207001331534743,14
12,elbo,train,10350.598734378815,14
0,coverage_80pct,test,0.8955223880597015,15
1,coverage_80pct,train,0.9242990654205607,15
2,coverage_80pct,valid,0.8731343283582089,15
3,diameter_80pct,test,1.5783689436028483,15
4,diameter_80pct,train,1.5731688756783264,15
5,diameter_80pct,valid,1.5982456413099766,15
6,mape,test,0.3491549278458777,15
7,mape,train,0.27775035728015307,15
8,mape,valid,0.34000138335325053,15
9,confidence_error,test,0.3351326273256789,15
10,confidence_error,train,0.4112068986987508,15
11,confidence_error,valid,0.2858369475405147,15
12,elbo,train,10327.783674240112,15
0,coverage_80pct,test,0.8805970149253731,16
1,coverage_80pct,train,0.9233644859813084,16
2,coverage_80pct,valid,0.8656716417910447,16
3,diameter_80pct,test,1.632919753280517,16
4,diameter_80pct,train,1.5765853206975857,16
5,diameter_80pct,valid,1.6226090945024148,16
6,mape,test,0.37056252441361365,16
7,mape,train,0.28703628688025773,16
8,mape,valid,0.3588489577294993,16
9,confidence_error,test,0.3371114053472746,16
10,confidence_error,train,0.42439808694975223,16
11,confidence_error,valid,0.2821890645067043,16
12,elbo,train,10262.808052062988,16
0,coverage_80pct,test,0.8955223880597015,17
1,coverage_80pct,train,0.9252336448598131,17
