,metric,partition,value,iteration
1,MAPE,train,0.26490407943887817,12
2,MAPE,valid,0.29844502122875016,12
3,MAE,test,2979.9542888059705,12
4,MAE,train,2467.10074621044,12
5,MAE,valid,3369.368266652284,12
6,emp_coverage_80pct,test,0.9253731343283582,12
7,emp_coverage_80pct,train,0.9327102803738317,12
8,emp_coverage_80pct,valid,0.8582089552238806,12
9,perc_lenght_80pct,test,1.6997938502358718,12
10,perc_lenght_80pct,train,1.6324731223619473,12
11,perc_lenght_80pct,valid,1.6442984590924659,12
12,abs_lenght_80pct,test,15590.188680001476,12
13,abs_lenght_80pct,train,15587.384389218163,12
14,abs_lenght_80pct,valid,15847.892394890765,12
15,confidence_error,test,0.37039549665251426,12
16,confidence_error,train,0.4040117051072959,12
17,confidence_error,valid,0.32226936042817983,12
18,elbo,train,10318.984706878662,12
0,MAPE,test,0.35135976460878365,13
1,MAPE,train,0.29591651634118893,13
2,MAPE,valid,0.3306781362747837,13
3,MAE,test,3125.2508653713853,13
4,MAE,train,2569.1874361458244,13
5,MAE,valid,3460.302373878847,13
6,emp_coverage_80pct,test,0.9104477611940298,13
7,emp_coverage_80pct,train,0.9242990654205607,13
8,emp_coverage_80pct,valid,0.8507462686567164,13
9,perc_lenght_80pct,test,1.5501356902669956,13
10,perc_lenght_80pct,train,1.4725793297029204,13
11,perc_lenght_80pct,valid,1.4699233075532303,13
12,abs_lenght_80pct,test,14125.653313399107,13
13,abs_lenght_80pct,train,14135.823298163601,13
14,abs_lenght_80pct,valid,14337.66796271847,13
15,confidence_error,test,0.2846702453579664,13
16,confidence_error,train,0.3467737497382321,13
17,confidence_error,valid,0.26607189835081163,13
18,elbo,train,10366.207350730896,13
0,MAPE,test,0.35021604937124784,14
1,MAPE,train,0.28854647302734776,14
2,MAPE,valid,0.32049486795911325,14
3,MAE,test,3187.2888402256303,14
4,MAE,train,2539.296955631439,14
5,MAE,valid,3376.034661839434,14
6,emp_coverage_80pct,test,0.9104477611940298,14
7,emp_coverage_80pct,train,0.9252336448598131,14
8,emp_coverage_80pct,valid,0.8582089552238806,14
9,perc_lenght_80pct,test,1.6037205812678603,14
10,perc_lenght_80pct,train,1.5142872975797959,14
11,perc_lenght_80pct,valid,1.5212126883531998,14
